timestamp,handle,text,avg_score
2025-06-15 02:15:00-04,@FinMinIndia,"RT by @FinMinIndia: Smt @nsitharaman appreciated the entrepreneurial spirit and creativity of the artisans, highlighting their role in preserving cultural heritage and boosting rural livelihoods in the Union Territory. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> appreciated the entrepreneurial spirit and creativity of the artisans, highlighting their role in preserving cultural heritage and boosting rural livelihoods in the Union Territory. <a href=""https://t.co/hQBlknP2T3"">https://t.co/hQBlknP2T3</a> <a href=""https://t.co/q4WAK6bs3q"">pic.twitter.com/q4WAK6bs3q</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934132613863637198?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.3204929556697607
2025-06-15 02:16:26-04,@MFA_China,"RT by @MFA_China: Chinese Foreign Minister Wang Yi had a phone call with Iranian FM Seyed Abbas Araghchi on Saturday. China explicitly condemns Israel for violating Iran’s sovereignty, security, and territorial integrity. China firmly opposes the brutal attacks targeting Iranian officials that… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Chinese Foreign Minister Wang Yi had a phone call with Iranian FM Seyed Abbas Araghchi on Saturday.<br /><br />China explicitly condemns Israel for violating Iran’s sovereignty, security, and territorial integrity. China firmly opposes the brutal attacks targeting Iranian officials that… <a href=""https://t.co/m90mhpzYBF"">pic.twitter.com/m90mhpzYBF</a></p>— Lin Jian 林剑 (@SpoxCHN_LinJian) <a href=""https://twitter.com/SpoxCHN_LinJian/status/1934132873998823904?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.5520404192308584
2025-06-15 02:35:00-04,@nsitharamanoffc,"Smt @nsitharaman interacts with Ms Rinchen Dolma, a PM Mudra Scheme beneficiary, during her visit to an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh. ""What a spectacular drive there is in her to use a… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> interacts with Ms Rinchen Dolma, a PM Mudra Scheme beneficiary, during her visit to an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh.<br /><br />""What a spectacular drive there is in her to use a… <a href=""https://t.co/pbTk7jWkYG"">pic.twitter.com/pbTk7jWkYG</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934137654246773146?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.03318070527166128
2025-06-15 02:35:00-04,@FinMinIndia,"RT by @FinMinIndia: Smt @nsitharaman interacts with Ms Rinchen Dolma, a PM Mudra Scheme beneficiary, during her visit to an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh. ""What a spectacular drive there is in her to use a… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> interacts with Ms Rinchen Dolma, a PM Mudra Scheme beneficiary, during her visit to an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh.<br /><br />""What a spectacular drive there is in her to use a… <a href=""https://t.co/pbTk7jWkYG"">pic.twitter.com/pbTk7jWkYG</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934137654246773146?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.11618188253293434
2025-06-15 02:55:00-04,@cryptoquant_com,"Bitcoin and the Macro Puzzle: Why BTC Rallies Despite Historic Yield Levels “This anomaly suggests a structural shift in Bitcoin’s role within the macro landscape. The explanation is that Bitcoin is becoming increasingly perceived as a store of value.” <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Bitcoin and the Macro Puzzle: Why BTC Rallies Despite Historic Yield Levels<br /><br />“This anomaly suggests a structural shift in Bitcoin’s role within the macro landscape. The explanation is that Bitcoin is becoming increasingly perceived as a store of value.” – By <a href=""https://twitter.com/Darkfost_Coc?ref_src=twsrc%5Etfw"">@Darkfost_Coc</a> <a href=""https://t.co/pLeEuXkkxu"">pic.twitter.com/pLeEuXkkxu</a></p>— CryptoQuant.com (@cryptoquant_com) <a href=""https://twitter.com/cryptoquant_com/status/1934142772782510291?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.47582162966330843
2025-06-15 02:59:00-04,@nsitharamanoffc,"RT by @nsitharamanoffc: Union Minister for Finance and Corporate Affairs Smt. @nsitharaman virtually inaugurated several development projects in Leh, reaffirming the commitment of the Government of India to inclusive growth and infrastructure development in the Union Territory of Ladakh. The Union… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Union Minister for Finance and Corporate Affairs Smt. <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> virtually inaugurated several development projects in Leh, reaffirming the commitment of the Government of India to inclusive growth and infrastructure development in the Union Territory of Ladakh.<br /><br />The Union… <a href=""https://t.co/R8MTXMda0l"">pic.twitter.com/R8MTXMda0l</a></p>— Ministry of Finance (@FinMinIndia) <a href=""https://twitter.com/FinMinIndia/status/1934143752102404187?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.2744495737676819
2025-06-15 02:59:00-04,@FinMinIndia,"Union Minister for Finance and Corporate Affairs Smt. @nsitharaman virtually inaugurated several development projects in Leh, reaffirming the commitment of the Government of India to inclusive growth and infrastructure development in the Union Territory of Ladakh. The Union… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Union Minister for Finance and Corporate Affairs Smt. <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> virtually inaugurated several development projects in Leh, reaffirming the commitment of the Government of India to inclusive growth and infrastructure development in the Union Territory of Ladakh.<br /><br />The Union… <a href=""https://t.co/R8MTXMda0l"">pic.twitter.com/R8MTXMda0l</a></p>— Ministry of Finance (@FinMinIndia) <a href=""https://twitter.com/FinMinIndia/status/1934143752102404187?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.1953573090955615
2025-06-15 02:59:00-04,@cryptoquant_com,"Read the full breakdown ⤵️ <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Read the full breakdown ⤵️<a href=""https://t.co/eM5hTOoUC5"">https://t.co/eM5hTOoUC5</a></p>— CryptoQuant.com (@cryptoquant_com) <a href=""https://twitter.com/cryptoquant_com/status/1934143586351628399?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.010736096029480299
2025-06-15 03:11:00-04,@saylor,"₿uy Cyber Manhattan <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">₿uy Cyber Manhattan <a href=""https://t.co/5jG2rRXFC8"">pic.twitter.com/5jG2rRXFC8</a></p>— Michael Saylor (@saylor) <a href=""https://twitter.com/saylor/status/1934146791798358464?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.1851019283135732
2025-06-15 03:32:00-04,@nsitharamanoffc,"Smt @nsitharaman handed over sanction letters from banks to beneficiaries under various Central Government schemes during the Credit Outreach Programme in Leh, Ladakh. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> handed over sanction letters from banks to beneficiaries under various Central Government schemes during the Credit Outreach Programme in Leh, Ladakh. <a href=""https://t.co/Rbnw75ExFT"">pic.twitter.com/Rbnw75ExFT</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934152119705317823?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.08362430793543657
